"tconst","primaryTitle","startYear","rank","averageRating","numVotes","runtimeMinutes","directors","writers","genres","IMDbLink","Title_IMDb_Link"
"tt0079501","Mad Max",1979,3663,6.8,239406,88,"George Miller","James McCausland, George Miller, Byron Kennedy","Action, Adventure, Sci-Fi","<a href=""https://www.imdb.com/title/tt0079501"" target=""_blank"">tt0079501</a>","<a href=""https://www.imdb.com/title/tt0079501"" target=""_blank"">Mad Max</a>"
"tt1605630","American Reunion",2012,3664,6.7,229860,113,"Jon Hurwitz, Hayden Schlossberg","Jon Hurwitz, Hayden Schlossberg, Adam Herz","Comedy","<a href=""https://www.imdb.com/title/tt1605630"" target=""_blank"">tt1605630</a>","<a href=""https://www.imdb.com/title/tt1605630"" target=""_blank"">American Reunion</a>"
"tt1684562","The Fall Guy",2024,3665,6.8,227340,126,"David Leitch","Glen A. Larson, Drew Pearce","Action, Comedy, Drama","<a href=""https://www.imdb.com/title/tt1684562"" target=""_blank"">tt1684562</a>","<a href=""https://www.imdb.com/title/tt1684562"" target=""_blank"">The Fall Guy</a>"
"tt0339291","A Series of Unfortunate Events",2004,3666,6.8,226987,108,"Brad Silberling","Robert Gordon, Daniel Handler","Adventure, Comedy, Family","<a href=""https://www.imdb.com/title/tt0339291"" target=""_blank"">tt0339291</a>","<a href=""https://www.imdb.com/title/tt0339291"" target=""_blank"">A Series of Unfortunate Events</a>"
"tt1321870","Gangster Squad",2013,3667,6.7,226458,113,"Ruben Fleischer","Will Beall, Paul Lieberman","Action, Crime, Drama","<a href=""https://www.imdb.com/title/tt1321870"" target=""_blank"">tt1321870</a>","<a href=""https://www.imdb.com/title/tt1321870"" target=""_blank"">Gangster Squad</a>"
"tt7798634","Ready or Not",2019,3668,6.8,218117,95,"Matt Bettinelli-Olpin, Tyler Gillett","Guy Busick, R. Christopher Murphy","Action, Comedy, Horror","<a href=""https://www.imdb.com/title/tt7798634"" target=""_blank"">tt7798634</a>","<a href=""https://www.imdb.com/title/tt7798634"" target=""_blank"">Ready or Not</a>"
"tt3766354","The Equalizer 2",2018,3669,6.7,217478,121,"Antoine Fuqua","Richard Wenk, Michael Sloan, Richard Lindheim","Action, Crime, Mystery","<a href=""https://www.imdb.com/title/tt3766354"" target=""_blank"">tt3766354</a>","<a href=""https://www.imdb.com/title/tt3766354"" target=""_blank"">The Equalizer 2</a>"
"tt1560220","Zombieland: Double Tap",2019,3670,6.7,216773,99,"Ruben Fleischer","Rhett Reese, Paul Wernick, Dave Callaham","Action, Comedy, Horror","<a href=""https://www.imdb.com/title/tt1560220"" target=""_blank"">tt1560220</a>","<a href=""https://www.imdb.com/title/tt1560220"" target=""_blank"">Zombieland: Double Tap</a>"
"tt2406566","Atomic Blonde",2017,3671,6.7,214874,115,"David Leitch","Kurt Johnstad, Antony Johnston, Sam Hart","Action, Thriller","<a href=""https://www.imdb.com/title/tt2406566"" target=""_blank"">tt2406566</a>","<a href=""https://www.imdb.com/title/tt2406566"" target=""_blank"">Atomic Blonde</a>"
"tt0139134","Cruel Intentions",1999,3672,6.8,214557,97,"Roger Kumble","Choderlos de Laclos, Roger Kumble","Drama, Romance","<a href=""https://www.imdb.com/title/tt0139134"" target=""_blank"">tt0139134</a>","<a href=""https://www.imdb.com/title/tt0139134"" target=""_blank"">Cruel Intentions</a>"
