names,date_x,score,genre,overview,crew,orig_title,status,orig_lang,budget_x,revenue,country
Every Secret Thing,04/20/2014 ,61.0,"Thriller, Crime, Mystery","One clear summer day in a Baltimore suburb, a baby goes missing from her front porch. Two young girls serve seven years for the crime and are released into a town that hasn't fully forgiven or forgotten. Soon, another child is missing, and two detectives are called in to investigate the mystery in a community where everyone seems to have a secret.","Diane Lane, Helen Manning, Elizabeth Banks, Detective Nancy Porter, Dakota Fanning, Ronnie Fuller, Danielle Macdonald, Alice Manning, Nate Parker, Detective Kevin Jones, Common, Devlin Hatch, Colin Donnell, Paul Porter, Bill Sage, Dave Fuller, Renée Elise Goldsberry, Cynthia Barnes",Every Secret Thing, Released, English,7200000.0,103536.0,US
Moonrise Kingdom,08/30/2012 ,77.0,"Comedy, Drama, Romance","Set on an island off the coast of New England in the summer of 1965, Moonrise Kingdom tells the story of two twelve-year-olds who fall in love, make a secret pact, and run away together into the wilderness. As various authorities try to hunt them down, a violent storm is brewing off-shore – and the peaceful island community is turned upside down in more ways than anyone can handle.","Jared Gilman, Sam Shakusky, Kara Hayward, Suzy Bishop, Edward Norton, Scout Master Ward, Bill Murray, Mr. Bishop, Frances McDormand, Mrs. Bishop, Bruce Willis, Captain Sharp, Tilda Swinton, Social Services, Jason Schwartzman, Cousin Ben, Bob Balaban, The Narrator",Moonrise Kingdom, Released, English,16000000.0,68848446.0,AU
The Sniper,11/19/2021 ,40.0,,"The Salvation Society is the most powerful criminal organization in Southeast Asia. Human trafficking, organ trading, drug manufacturing and drug trafficking are rampant. In 2012, the secret service organization planned to capture the leader of the organization, Songpa, but during the ambush, Jin Ming unexpectedly had to save a boy who was about to have his heart harvested, triggering a fierce battle between the two sides. The final mission ended in failure, and two children were saved. The boy is named Jin Tai, and the girl is named Xiao Mei. Under the guidance of Jin Ming, the two became top snipers ten years later. During an operation, Jin Tai was shocked to find that his former mentor was actually a traitor of the Salvation Society. Seeing that their identities were revealed, Jin Ming and Xiao Mei went on a killing spree, blood-washing the spy organization....","Raquel Xu, Li Shanji, Henry Prince Mak, Jin Tai, Michael Tong, Jin Min, Jane Wu, Xiao Mei, Cheng Tao, Ah Lung, Ye Xinyu, Captain", 狙击之王, Released, Chinese,101800000.0,842846355.6,CN
Water Monster 2,08/20/2021 ,68.0,"Thriller, Mystery",We don't have an overview translated in English. Help us expand our database by adding one.,"Wang Zhener, Du Cinlin, Han Dong, Du Jiahao, Liu Lincheng, Shui Sheng, Wang Jianguo, Jiu Shugun, Wang Hongqian, Lao Bai, Guo Jiayi, Xiang Lan, Wang Zirun, , Ziqi Wei, , Wu Hao, Er Bai", 水怪2：黑木林, Released, Chinese,117171600.0,389334037.2,CN
The Girl on a Bulldozer,04/07/2022 ,73.0,"Mystery, Drama","Haeyoung is a hopeless girl. She lives with her father who runs a Chinese restaurant, and a younger sibling. One day, her father has a mysterious accident, which places her in a position of responsibility. She is now not only the head of the house and must look after her younger sibling, but also an investigator tasked with finding the truth about the accident, and a fighter standing against the ugly world.","Kim Hye-yoon, Hae-young, Park Hyeok-kwon, Bon-jin, Yesung, Yoo-seok, Oh Man-seok, Choi Young-hwan, Choi Hee-jin, Kyung-jin, Park Hyun-woo, Young-hwan's Son, Park So-eul, Aunt's daughter", 불도저에 탄 소녀, Released, Korean,110000000.0,628681408.4,KR
Robin Robin,10/09/2021 ,71.0,"Animation, Adventure, Family",A bird raised by mice begins to question where she belongs and sets off on a daring journey of self-discovery.,"Bronte Carmichael, Robin (voice), Richard E. Grant, Magpie (voice), Gillian Anderson, Cat (voice), Adeel Akhtar, Dad Mouse (voice), Amira Macey-Michael, Dink (voice), Tom Pegler, Pip (voice), Endeavour Clutterbuck, Flynn (voice), Megan Harris, Flin (voice)",Robin Robin, Released, English,86800000.0,637128589.0,GB
Lego Scooby-Doo!: Haunted Hollywood,05/03/2016 ,74.0,"Animation, Family, Comedy, Mystery","The gang find themselves in a tinsel-town twist! While on a VIP tour of the legendary Brickton Studios, Scooby and friends get a first-hand experience of the rumored hauntings when classic movie monsters drop in for a creepy casting call.","Matthew Lillard, Shaggy Rogers (voice), Cassandra Peterson, Drella Diabolique (voice), Grey DeLisle, Daphne Blake (voice), Frank Welker, Scooby-Doo / Fred Jones (voice), Kate Micucci, Velma Dinkley (voice), Scott Menville, Junior (voice), Dee Bradley Baker, Sea Creature / Malt Shop Walt / Zombie (voice), JB Blanc, Atticus Fink / Director (voice), Christian Lanz, Bryan Lakeshore / Mummy (voice)",Lego Scooby-Doo!: Haunted Hollywood, Released, English,88600000.0,591061101.8,US
Æon Flux,02/23/2006 ,56.0,"Science Fiction, Action, Thriller","400 years into the future, disease has wiped out the majority of the world's population, except one walled city, Bregna, ruled by a congress of scientists. When Æon Flux, the top operative in the underground 'Monican' rebellion, is sent on a mission to kill a government leader, she uncovers a world of secrets.","Charlize Theron, Æon Flux, Marton Csokas, Trevor Goodchild, Jonny Lee Miller, Oren Goodchild, Sophie Okonedo, Sithandra, Frances McDormand, Handler, Pete Postlethwaite, Keeper, Amelia Warner, Una Flux, Caroline Chikezie, Freya, Paterson Joseph, Giroux",Æon Flux, Released, English,62000000.0,53321673.0,AU
Scorned,07/14/1993 ,52.0,"Drama, Thriller",A vengeful widow worms her way into the home of the man she holds responsible for her husband's suicide.,"Shannon Tweed, Patricia Langley / Amanda Chessfield, Andrew Stevens, Alex Weston, Kim Morgan Greene, Marina Weston, Daniel McVicar, Truman Langley, Michael D. Arenz, Robey Weston, Stephen Young, Mason Wainwright, Perla Walter, Belle, Paul Carr, Kramer, Ron Melendez, Robey's Friend",Scorned, Released, English,76340000.0,734884073.8,US
The Apartment,08/10/2004 ,82.0,"Comedy, Drama, Romance","Bud Baxter is a minor clerk in a huge New York insurance company, until he discovers a quick way to climb the corporate ladder. He lends out his apartment to the executives as a place to take their mistresses. Although he often has to deal with the aftermath of their visits, one night he's left with a major problem to solve.","Jack Lemmon, C.C. Baxter, Shirley MacLaine, Fran Kubelik, Fred MacMurray, Jeff D. Sheldrake, Ray Walston, Joe Dobisch, Jack Kruschen, Dr. Dreyfuss, David Lewis, Al Kirkeby, Hope Holiday, Mrs. Margie MacDougall, Joan Shawlee, Sylvia, Naomi Stevens, Mrs. Mildred Dreyfuss",The Apartment, Released, English,3000000.0,24599998.0,AU
Trinity Seven: Eternity Library & Alchemic Girl,02/01/2017 ,76.0,"Animation, Action, Comedy, Fantasy","The film's story begins when Arata inadvertently touches ""Hermes Apocrypha,"" Lilith's Grimoire. Suddenly, he is enveloped by a bright white light, and a girl appears before him. She calls herself Lilim, and treats both Arata and Lilith as her parents. At the same time she appears, something changes in the world. The forbidden Eternal Library awakens. In the Library is sealed the ultimate culmination of Alchemy, the White Demon Lord. The White Demon Lord plots to eliminate Arata and the Trinity Seven to usurp the position of Demon Lord. Bristling with untold power, the White Demon Lord attacks Arata, and triggers a desperate crisis where Arata and the Trinity Seven must save the world in this last battle.","Yoshitsugu Matsuoka, Arata Kasuga, Yumi Hara, Lilith Asami, Rina Hidaka, Lilim, Nobunaga Shimazaki, Last Trinity, Mao Ichimichi, Anastasia L, Ryoka Yuzuki, Akio Fudou, Aya Uchida, Arin Kannazuki, Ayane Sakura, Levi Kazama, Rie Murakawa, Yui Kurata", 劇場版 トリニティセブン -悠久図書館と錬金術少女-, Released, Japanese,136000000.0,356069126.0,JP
"Ed, Edd n Eddy's Big Picture Show",11/08/2009 ,73.0,"Comedy, Animation, Adventure, TV Movie","When a scam goes horribly wrong and leaves the neighborhood kids furious, the Eds embark on a journey to find Eddy's brother in the ""Ed, Edd, n Eddy"" series finale.","Matt Hill, Ed (voice), Sam Vincent, Edd (voice), Tony Sampson, Eddy (voice), Keenan Christenson, Jimmy (voice), David-Paul Grove, Jonny 2x4 (voice), Janyse Jaud, Sarah / Lee Kanker (voice), Kathleen Barr, Kevin / Marie Kanker (voice), Erin Fitzgerald, Nazz / May Kanker (voice), Peter Kelamis, Rolf (voice)","Ed, Edd n Eddy's Big Picture Show", Released, English,91000000.0,1054685990.0,US
Omen IV: The Awakening,05/20/1991 ,51.0,"Horror, Mystery, Thriller","Damien Thorn is dead, but his prophecy is reborn in a girl named Delia, who is adopted by two attorneys, Gene and Karen York. When Karen realizes her baby was born under suspicious circumstances, she hires a private investigator to find Delia's real parents. A series of bizarre accidents occur, and Karen begins to suspect everyone of conspiring against her as she unravels the truth about her baby.","Faye Grant, Karen York, Michael Woods, Gene York, Michael Lerner, Earl, Madison Mason, Dr. Hastings, Ann Hearn, Jo Thueson, Jim Byrnes, Noah, Don S. Davis, Jake Madison, Asia Vieira, Delia, Megan Leitch, Sister Yvonne / Felicity",Omen IV: The Awakening, Released, English,136400000.0,533025401.2,US
