show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s5786,Movie,Seven Days In Utopia,Matt Russell,"Robert Duvall, Lucas Black, Melissa Leo, Deborah Ann Woll, Madison Burge",,,2011,7+,99 min,"Drama, Special Interest, Sports","After a disastrous debut on the pro circuit, a young golfer finds himself unexpectedly stranded in Utopia, Texas and welcomed by an eccentric rancher."
s5787,Movie,Sebastian LIVE,Manny Rodriguez,Sebastian Maniscalco,,,2009,18+,62 min,"Arts, Entertainment, and Culture","Sebastian Maniscalco's comedy is impeccably paced and chock-full of seething observations on daily human behavior. He voices his disgust of everything from shopping at discount department stores to men in flip-flops. Filmed at the famed Paramount Theatre in St. Louis, Missouri, Sebastian LIVE, will leave you screaming for more of Sebastian's unique brand of humor."
s5788,TV Show,Ruby Gloom,,"Sarah Gadon, Stacey DePass, Emily Hampshire, Scott McCord, Adrian Truss, Peter Keleghan, Jeremy Harriss, David Bernie, Barbara Mamabolo",,,2006,TV-G,1 Season,"Animation, Kids","Some kids might be afraid of the dark. But Ruby is different: she befriends strange characters like Doom Kitty, Skull Boy, Misery, Boo Boo and Mr Buns."
s5789,Movie,Ron White: A Little Unprofessional,,Ron White,,,2013,ALL,80 min,"Arts, Entertainment, and Culture","The ""Blue Collar Comedy Tour"" alum delivers more than an hour of all new material with his signature, irreverent storytelling style and the best comedic timing in the business."
s5790,Movie,Rolling Stones - Sticky Fingers Live At The Fonda Theatre 2015,Paul Dugdale,The Rolling Stones,,,2017,13+,87 min,Music Videos and Concerts,"On May 20th 2015 at the Fonda Theatre in Hollywood, California, The Rolling Stones performed the entire Sticky Fingers album live in concert for the first time. The intimate setting of the Fonda Theatre was in contrast to the huge stadiums in which the band would perform for the rest of the tour and made this an incredibly special occasion for those fans lucky enough to get a ticket."
s5791,Movie,Rolling Stones - No Security San Jose 1999,,The Rolling Stones,,,2018,13+,118 min,Music Videos and Concerts,"Filmed at the San Jose Arena on The Rolling Stones' No Security tour, this concert captures the band in top form playing a set that spans from mid-sixties hit singles up to the then current Bridges To Babylon album."
s5792,Movie,Recognize,Terry T. Miles,"TERRY MILES, ONEWAY BOOBE, TONY FRANKLIN, DINO",,,2021,18+,93 min,"Action, Drama",Recognize is an action packed urban film about an car dealership owner that works as respectable job by day but has a dark twisted side to him that you wouldn't expect. This film delivers a strong message to the streets. Definitely said to be the next hood classic. Written and directed by TMiles/Exec Producer Terry T.Miles Cinematography Jason Diaz
s5793,Movie,Razia Sultan,Kamal Amrohi,"Dharmendra, Hema Malini, Parveen Babi, Pradeep Kumar, Vijayendra Ghatge, Ajit, Veena",,,1983,13+,151 min,Drama,"Razia Sultan, the first female ruler of the Delhi Sultanate, lands in trouble and loses her kingdom when she falls in love with Jamal-ud-Din Yakut, an Abyssinian slave."
s5794,TV Show,"Please Feel At Ease, Mr. Ling",,"Lusi Zhao, Te Liu",,,2021,7+,1 Season,"Drama, Romance","The story revolves around a ""Little White Rabbit"" deliverywoman Gu Anxin who accidentally knocks over the heir of a corporation. The ""Big Bad Wolf' President Ling Yue requests for Anxin to take responsibility, and so she has no choice but to take him back to her home for recovery. Thus began a love story between two people with different personalities and identities."
s5795,Movie,Pinkfong and Baby Shark's Space Adventure,Pinkfong,,,,2019,ALL,65 min,"Animation, Kids",Follow Pinkfong & Baby Shark's space journey as they visit mysterious planets to help find the special star for Pinkfong!
s5796,Movie,Pachchis,"Sri Krishna, Rama Sai","Raamz, Swetaa Varma, Ravi Varma, John Kottoly, Subhalekha Sudhakar, Vishwendar Reddy, Dayanand, Sunjith, Sai Kumar, Deepak",,,2021,16+,128 min,"Action, Suspense","Abhiram (Ramaz) wants to hit a jackpot through gambling and soon loses all the money. In order to make a quick recovery, he presses his luck in a political feud and bumps into Avantika (Swetha Varma) who searches for her missing brother. And the rest of the Pacchis movie is an out-and-out cat and mouse thriller."
s5797,Movie,Other Voices,Ose Oyamendan,"Roni Keidar, Marwan Mahmoud, Natan Galvowicz, Ahmed Jamal Al-Nassan, Eric Yellin",,,2021,18+,84 min,Documentary,"Unlikely friends in Gaza & Sderot, THE battlefield of the Israeli- Palestinian conflict, band together to save their neighborhood"
s5798,Movie,Octagon,Christopher Wiggins,"Kierney Nelson, Deborah Hurm, Blythe Scott",,,2017,R,103 min,Horror,"A young man, Nicky, has the same nightmare every night. Convinced that his recurring nightmare is real, he takes his girlfriend, Lora, deep into the woods to look for clues to prove he's right. Nicky recalls each part of his dream as they travel; eight bizarre and grotesque stories that comprise his living nightmare."
s5799,Movie,Nose,"Arthur de Kersauson, Clément Beauvais","Francois Demachy, Erin Flaherty, Virginie Ledoyen, Eddie Bulliqi",,,2021,NR,71 min,"Arts, Entertainment, and Culture, Documentary, International","For the first time in a documentary feature, the prestigious House of Dior opened its doors to show the wonders of perfume creation."
s5800,Movie,Nagina,Harmesh Malhotra,"Sridevi, Rishi Kapoor, Komal Mahuvakar, Amrish Puri, Sushma Seth, Prem Chopra, Guddi Maruti",,,1986,13+,137 min,"Drama, Romance, Science Fiction","Rajiv, however, is in love with an orphan named Rajni. Rajni wins Rajiv's mother over and they are allowed to marry. All goes well until a snake charmer, Bhairo Nnath, arrives on the scene and tells the mother that her daughter-in-law is a reptilian shape-shifter with evil intentions. Bhairo Nnath knows more than he is telling."
s5801,Movie,Monsieur Papa,Kad Merad,"Kad Merad, Michelle Laroque, Vincent Perez, Judith el Zein, Gaspard Meier-Chaurand",,,2011,13+,89 min,"Comedy, Drama","Monsieur Papa is the story of the strange bond that will be formed between Marius, Marie and Robert, who unexpectedly becomes a father. A bond that will give them plenty of headaches and mark their lives."
s5802,TV Show,MondoYan,,"Paul Tylak, Jody O'Neill, Morgan C Jones, Giles New",,,2020,7+,1 Season,"Action, Animation, Kids","PAI, XI A, Abril -Together, they are the ""The Ji Guardians"", chosen to defend the fragile Yan World, and reestablish a balance with the natural world that has long since disappeared."
s5803,Movie,Mere Jeevan Saathi,Suneel Darshan,"Akshay Kumar, Karisma Kapoor, Ameesha Patel, Gulshan Grover, Ashish Vidyarthi",,,2006,ALL,125 min,"Arts, Entertainment, and Culture, Drama, Romance","A love triangle which involves a rock star, a woman he's always been in love with and his new sensual boss who will stop at nothing to get what she wants, no matter who she hurts in the process."
s5804,Movie,Mary Higgins Clark's: Lucky Day,Penelope Buitenhuis,"Amanda Donohoe, Gregor Toerzs, Tony Lo Bianco, Karen LeBlanc",,,2002,PG-13,94 min,"Drama, Suspense","Having the winning lottery jackpot ticket is the best thing that could have happened to delivery man Bill Regan - until he turns up dead with his wallet emptied. Determined to find out what happened, a friend retraces Bill's delivery stops and discovers they lead to her own husband."
s5805,Movie,Mary Higgins Clark's: Before I Say Goodbye,Michael Storey,"Sean Young, Peter DeLuise, Ursula Karven, Lloyd Bochner",,,2003,PG-13,95 min,"Drama, Suspense","Nell MacDermott loses her husband in a fiery boating accident and visits a psychic to connect with him again. But when she's informed that he was murdered, Nell is compelled to find the killer searching for an elusive witness who could solve the mystery - or end her life."
s5806,Movie,Mary 4 Mayor,Chris Aronoff,"Corbin Bernsen, Amanda Pays, Cameron Protzman",,,2021,PG,97 min,"Comedy, Romance","Running for mayor against her incumbent father, an 18-year-old young woman discovers valuable secrets that will not only save her town, but also her family. TV-PG"
s5807,Movie,Manifest Destiny: The Lewis & Clark Musical Adventure,Anthony Parisi,"Jeremy Hoffman, Kev Abrams, Jesse GrothOlson, Kristen Terry, Matt Bittner",,,2016,13+,87 min,Comedy,Lewis and Clark blaze a trail to the western waters in this epic spoof on American history.
s5808,Movie,Mama's Song,David Wendell Boykins,"Spence Moore II, Nicci Carr",,,2020,18+,41 min,"Drama, Kids, Special Interest",Mama's song is a film about a son who has to pick up the pieces after a family crisis.
s5809,Movie,Lea & Pop - Twinkle Twinkle Little Star & More Kids Songs,Mora TV,"Lea, Pop",,,2021,ALL,50 min,"Animation, Kids","Make bedtime easier with these lullabies. Soothing words and music helps babies calm down and help them sleep. These lullabies lyrics lend themselves to some fun hand movements that will keep baby entertained and smiling. Put your children to sleep with lullabies from Lea and Pop. Playing soft lullabies with baby relaxing music at bedtime promotes comfort, quality sleep and brain development."
s5810,Movie,Lea & Pop - Baby Shark & More Kids Songs,Mora TV,"Lea, Pop",,,2021,ALL,52 min,"Animation, Kids","This compilation brings you multiple educational songs for kids in one video. Come and sing together with our funny friends, Lea & Pop. A musical adventure, full of dancing songs, animals, numbers, shapes and alphabet learning activities! Educational and entertaining preschool content. Enjoy! Let's sing and dance on Looby Loo, let's clap our hands and dance with Baby Shark family."
s5811,Movie,La fille aux deux visages,Romain Serir,"Estelle Halimi, Andréa-Laure Finot, Timothy Cordukes",,,2018,13+,75 min,"Horror, Suspense","Clarisse meets Marc, a young surgeon. She spends the night with him in his mansion. In the morning, she realizes that she has been fooled. She's now held against her will. Marc forces her to play the part of his deceased wife. After an operation, he gives her a new face. Clarisse becomes Hélène. But can we erase an identity so easily?.."
s5812,Movie,Jurassic Dinosaur Quest T-Rex Ranch,Aaron Michael,"LB, Aaron Michael",,,2018,ALL,13 min,Kids,"T-Rex Ranch brings you another awesome fun-packed collection of Jurassic dinosaur videos ! Watch your favorite park rangers get into all sorts of wonderful adventures, coming across lots of scary dinosaurs, awesome toys and much more!"
s5813,Movie,Jungle,Greg McLean,"Daniel Radcliffe, Thomas Kretschmann, Joel Jackson, Yasmin Kassim","Australia, Colombia, United Kingdom",,2017,R,116 min,Action,"A group of friends join a guide for a trek into the Bolivian jungle, searching for an Indian village. The men soon realize that the jungle is a difficult place to be."
s5814,Movie,Jhoom Barabar Jhoom,Shaad Ali Sahgal,"Abhishek Bachchan, Preity Zinta, Lara Dutta, Amitabh Bachchan, Bobby Deol, Piyush Mishra, Ameet Chana",,,2007,13+,132 min,"Drama, International, Romance","""London, an overcrowded cafe, one table to share. Two strangers tell each other 'how I met my fiancé' stories to kill time. Rikki (Abhishek Bachchan) met his fiance Anaida (Lara Dutta) at the Ritz in Paris & Alvira (Preity Zinta) met her prince charming Steve (Bobby Deol) at Madame Tussauds in London. Stories unfold. What follows is a crazy love story full of deceits & a complicated quadrangle. """
s5815,Movie,Highlander,Russell Mulcahy,"Clancy Brown, Sean Connery, Roxanne Hart, Christopher Lambert",,,1986,R,117 min,"Action, Adventure, Fantasy","An immortal Scottish swordsman must confront the last of his immortal opponent, a murderously brutal barbarian who lusts for the fabled ""Prize."""
s5816,Movie,Helena,Alfonso Ciccarelli,"Giovanna Landolfi, Ciro Esposito",,,2020,16+,80 min,Drama,"Helena, a brilliant journalist, writes articles on the land of fires and recurring is the phrase ""To my land that may flourish and never burn again"" Helena lends herself to helping people with cancer with her psychologist friend Maria (Stefania De Francesco)."
s5817,Movie,He's Out There,Quinn Lasher,"Yvonne Strahovski, Justin Bruening",,,2018,R,89 min,"Action, Horror, Suspense","On vacation at a remote lake house, a mother and her two young daughters must fight for survival after falling into a terrifying and bizarre nightmare conceived by a psychopath."
